Sample ID,"2,4 TDI","2,6 TDI",Mboca,MCDEA,Curing time(h),Curing Temp(C),Hardness Shore D,Compression set(%),100% Modulus(MPa),300% Modulus(Mpa),Ultimate Tensile(MPa),Tensile Elongation(%),Bashore Rebound(%),Hd (J/g Elastomer),Hd (kJ/mol Hard segment),Tg Soft Segment (C),H(SAXS)(nm),H(DSC)(nm),Vh(DSC),Vh(SAXS),Kp,Interdomain Spacing(Bragg),Interdomain Spacing(1-D CF)
SM1,80,20,1,0,16,100,50,24,14,28,43,371,49,11,17,-55,1.78,1.94,0.28,0.22,0.86,7.6,9.2
SP1,100,0,1,0,16,100,51,28,14,31,46,356,48,13,21,-57,1.72,1.87,0.28,0.23,0.93,6.8,7
RM1,80,20,1,0,16,100,51,26,16,35,45,337,53,30,47,-55,1.61,1.69,0.28,0.25,1.11,5.1,5
RP1,100,0,1,0,16,100,53,31,15,35,51,353,51,31,49,-58,1.64,1.69,0.28,0.27,1.01,5.2,5.2
SM2,80,20,0,1,16,100,57,41,15,38,53,362,57,9,15,-63,1.47,1.84,0.38,0.24,1.02,5.3,5.2
SP2,100,0,0,1,16,100,57,39,17,38,48,347,57,17,29,-68,1.38,1.69,0.38,0.25,0.98,5.2,4.9
RM2,80,20,0,1,16,100,58,37,18,53,66,337,58,25,42,-67,1.22,1.51,0.38,0.25,1.51,4.5,4.5
RP2,100,0,0,1,16,100,59,40,18,53,65,332,58,35,59,-64,1.28,1.59,0.38,0.24,1.35,4.5,4.5
SM3,80,20,0,1,48,130,57,29,16,41,74,408,57,16,27,-64,1.31,1.67,0.38,0.22,0.77,5.2,5.7
SP3,100,0,0,1,48,130,57,30,17,38,60,380,58,20,34,-65,1.3,1.64,0.38,0.24,1.02,5.1,5.2
RM3,80,20,0,1,48,130,57,34,17,44,66,375,58,34,57,-65,1.19,1.47,0.38,0.24,1.39,4.5,4.5
RP3,100,0,0,1,48,130,58,37,17,41,67,394,58,36,61,-62,1.18,1.49,0.38,0.23,1.25,4.5,4.5
